fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane
4945,273588,70,8,1463589209,695,1,1,3,2,ACQUIRING,SEPARATION,29,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.322,-163.453,38.1984,68.7792,LHC.BPM.1R5.B1_DOROS,-143.593,94.6751,80.8251,23.4332,LHC.BPM.1L5.B2_DOROS,222.377,-182.009,5.67484,97.0164,LHC.BPM.1R5.B2_DOROS,-90.8738,-274.211,20.696,36.2501,2.49673,NONE
4945,273588,70,12,1463589211,117,1,1,3,2,ACQUIRING,SEPARATION,28,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.228,-163.31,37.9962,68.5894,LHC.BPM.1R5.B1_DOROS,-143.413,94.5611,81.0472,23.4638,LHC.BPM.1L5.B2_DOROS,222.491,-181.988,5.78822,97.0102,LHC.BPM.1R5.B2_DOROS,-90.7797,-274.032,20.7372,36.169,2.49673,NONE
4945,273588,70,16,1463589212,532,1,1,3,2,ACQUIRING,SEPARATION,27,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.145,-163.523,38.4129,68.3486,LHC.BPM.1R5.B1_DOROS,-143.216,94.4986,80.9882,23.5237,LHC.BPM.1L5.B2_DOROS,222.488,-181.998,5.44924,96.9204,LHC.BPM.1R5.B2_DOROS,-90.8839,-274.153,20.9395,35.9872,2.49673,NONE
4945,273588,70,20,1463589214,53,1,1,3,2,ACQUIRING,SEPARATION,25,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.187,-163.546,38.4133,68.2716,LHC.BPM.1R5.B1_DOROS,-143.542,94.6597,81.0638,23.6874,LHC.BPM.1L5.B2_DOROS,222.827,-181.989,5.70747,96.8639,LHC.BPM.1R5.B2_DOROS,-90.7647,-274.095,20.7414,35.8845,2.49443,NONE
4945,273588,70,24,1463589215,474,1,1,3,2,ACQUIRING,SEPARATION,24,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.096,-163.571,38.2048,68.4026,LHC.BPM.1R5.B1_DOROS,-143.054,94.7357,80.8934,23.5991,LHC.BPM.1L5.B2_DOROS,222.638,-181.891,5.97907,96.7388,LHC.BPM.1R5.B2_DOROS,-90.8605,-274.077,20.5508,35.9166,2.47151,NONE
4945,273588,70,28,1463589216,907,1,1,3,2,ACQUIRING,SEPARATION,22,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.036,-163.446,38.244,68.4649,LHC.BPM.1R5.B1_DOROS,-143.544,94.6863,80.3867,23.4139,LHC.BPM.1L5.B2_DOROS,222.617,-181.976,5.94117,96.7129,LHC.BPM.1R5.B2_DOROS,-90.6474,-274.164,20.9097,36.0579,2.49827,NONE
4945,273588,70,32,1463589218,424,1,1,3,2,ACQUIRING,SEPARATION,21,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.185,-163.449,37.9214,68.4788,LHC.BPM.1R5.B1_DOROS,-143.393,94.662,80.3802,23.6082,LHC.BPM.1L5.B2_DOROS,222.741,-181.985,6.16576,96.6729,LHC.BPM.1R5.B2_DOROS,-90.6379,-274.019,20.5084,36.1264,2.49827,NONE
4945,273588,70,36,1463589219,849,1,1,3,2,ACQUIRING,SEPARATION,19,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.194,-163.477,38.1895,68.612,LHC.BPM.1R5.B1_DOROS,-143.398,94.734,80.3179,23.3902,LHC.BPM.1L5.B2_DOROS,222.495,-182.089,6.23228,96.6779,LHC.BPM.1R5.B2_DOROS,-90.6442,-274.013,20.6346,36.1695,2.49404,NONE
4945,273588,70,40,1463589221,367,1,1,3,2,ACQUIRING,SEPARATION,18,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.186,-163.498,38.0653,68.5502,LHC.BPM.1R5.B1_DOROS,-143.077,94.7249,80.3878,23.5736,LHC.BPM.1L5.B2_DOROS,222.979,-182.11,5.9706,97.023,LHC.BPM.1R5.B2_DOROS,-90.9205,-274.06,20.728,35.9525,2.47875,NONE
4945,273588,70,44,1463589222,797,1,1,3,2,ACQUIRING,SEPARATION,16,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.078,-163.54,37.947,68.3741,LHC.BPM.1R5.B1_DOROS,-143.166,94.8039,80.5169,23.5838,LHC.BPM.1L5.B2_DOROS,222.664,-182.062,5.85165,97.1719,LHC.BPM.1R5.B2_DOROS,-90.6991,-273.981,20.6319,35.9381,2.47875,NONE
4945,273588,70,48,1463589224,208,1,1,3,2,ACQUIRING,SEPARATION,15,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.221,-163.85,38.8879,69.993,LHC.BPM.1R5.B1_DOROS,-143.273,94.6894,80.4055,23.5191,LHC.BPM.1L5.B2_DOROS,222.559,-182.552,6.06333,99.2761,LHC.BPM.1R5.B2_DOROS,-90.5553,-274.103,20.8485,36.012,2.49904,NONE
4945,273588,70,52,1463589225,722,1,1,3,2,ACQUIRING,SEPARATION,14,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.079,-163.796,37.941,68.3417,LHC.BPM.1R5.B1_DOROS,-143.083,94.7656,80.3315,23.4705,LHC.BPM.1L5.B2_DOROS,222.796,-182.405,5.51595,96.8385,LHC.BPM.1R5.B2_DOROS,-90.6703,-274.076,20.6881,36.1345,2.49289,NONE
4945,273588,70,56,1463589227,137,1,1,3,2,ACQUIRING,SEPARATION,12,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.408,-163.307,38.0528,68.4081,LHC.BPM.1R5.B1_DOROS,-142.771,94.761,79.8867,23.5488,LHC.BPM.1L5.B2_DOROS,222.704,-181.9,5.70566,96.7736,LHC.BPM.1R5.B2_DOROS,-90.5872,-273.997,21.02,36.1434,2.49289,NONE
4945,273588,70,60,1463589228,652,1,1,3,2,ACQUIRING,SEPARATION,11,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.386,-163.196,37.9321,68.5618,LHC.BPM.1R5.B1_DOROS,-143.441,94.6574,79.5493,23.5003,LHC.BPM.1L5.B2_DOROS,223.037,-181.907,5.79386,96.8672,LHC.BPM.1R5.B2_DOROS,-90.4923,-274.082,21.0372,36.261,2.50057,NONE
4945,273588,70,64,1463589230,66,1,1,3,2,ACQUIRING,SEPARATION,9,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.429,-163.317,38.0802,68.6594,LHC.BPM.1R5.B1_DOROS,-142.609,94.6866,79.51,23.4707,LHC.BPM.1L5.B2_DOROS,223.064,-181.847,6.28656,96.9687,LHC.BPM.1R5.B2_DOROS,-90.6524,-274.083,21.076,36.1821,2.4883,NONE
4945,273588,71,4,1463589231,489,1,1,3,2,ACQUIRING,SEPARATION,8,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.239,-163.222,38.0579,68.6108,LHC.BPM.1R5.B1_DOROS,-143.391,94.6922,79.8716,23.4997,LHC.BPM.1L5.B2_DOROS,222.77,-181.767,6.20548,96.8445,LHC.BPM.1R5.B2_DOROS,-90.7133,-274.138,21.1835,36.1755,2.4883,NONE
4945,273588,71,8,1463589232,923,1,1,3,2,ACQUIRING,SEPARATION,6,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.237,-163.385,38.2964,68.4381,LHC.BPM.1R5.B1_DOROS,-142.927,94.5201,80.0562,23.3594,LHC.BPM.1L5.B2_DOROS,222.948,-181.946,6.35559,96.7412,LHC.BPM.1R5.B2_DOROS,-90.7007,-273.982,21.302,36.2215,2.49213,NONE
4945,273588,71,12,1463589234,459,1,1,3,2,ACQUIRING,SEPARATION,5,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.257,-163.33,38.2722,68.3324,LHC.BPM.1R5.B1_DOROS,-143.055,94.5062,80.5527,23.2996,LHC.BPM.1L5.B2_DOROS,222.96,-182.029,6.73816,96.7079,LHC.BPM.1R5.B2_DOROS,-90.6345,-273.917,21.3436,36.1739,2.486,NONE
4945,273588,71,16,1463589235,878,1,1,3,2,ACQUIRING,SEPARATION,3,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.189,-163.345,38.1786,68.2657,LHC.BPM.1R5.B1_DOROS,-143.172,94.5345,80.3324,23.2703,LHC.BPM.1L5.B2_DOROS,222.733,-181.915,6.87424,96.7165,LHC.BPM.1R5.B2_DOROS,-90.8008,-273.954,21.2448,36.0939,2.486,NONE
4945,273588,71,20,1463589237,392,1,1,3,2,ACQUIRING,SEPARATION,2,0,-0.218647,-0.179142,0.218647,0.179142,0,0,0,0,LHC.BPM.1L5.B1_DOROS,557.413,-162.847,39.0136,69.8672,LHC.BPM.1R5.B1_DOROS,-143.203,94.5594,80.576,23.3192,LHC.BPM.1L5.B2_DOROS,223.213,-181.251,6.3865,99.005,LHC.BPM.1R5.B2_DOROS,-90.6686,-274.08,21.0729,36.1472,2.48333,NONE
4945,273588,74,24,1463589308,741,1,4,3,2,ACQUIRING,SEPARATION,30,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.027,-168.204,38.2457,68.0799,LHC.BPM.1R5.B1_DOROS,-142.832,95.7703,79.8749,23.4481,LHC.BPM.1L5.B2_DOROS,218.363,-183.198,5.6289,96.9357,LHC.BPM.1R5.B2_DOROS,-90.4194,-274.968,21.6186,35.9964,7.13925e-05,SEPARATION
4945,273588,74,28,1463589310,154,1,4,3,2,ACQUIRING,SEPARATION,28,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,554.956,-168.248,37.8142,67.9938,LHC.BPM.1R5.B1_DOROS,-142.967,95.8837,80.2802,23.8028,LHC.BPM.1L5.B2_DOROS,218.035,-183.068,5.32279,96.8708,LHC.BPM.1R5.B2_DOROS,-90.2397,-274.847,21.2641,36.1625,7.13925e-05,SEPARATION
4945,273588,74,32,1463589311,671,1,4,3,2,ACQUIRING,SEPARATION,27,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.037,-168.266,37.9039,68.0438,LHC.BPM.1R5.B1_DOROS,-143.071,95.8674,80.3774,23.7911,LHC.BPM.1L5.B2_DOROS,218.561,-182.918,5.16586,96.9096,LHC.BPM.1R5.B2_DOROS,-90.155,-274.849,21.3514,36.1338,7.13925e-05,SEPARATION
4945,273588,74,36,1463589313,90,1,4,3,2,ACQUIRING,SEPARATION,26,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.111,-168.273,38.0145,68.0619,LHC.BPM.1R5.B1_DOROS,-142.907,95.473,80.1209,23.8404,LHC.BPM.1L5.B2_DOROS,218.386,-182.882,5.06501,96.9761,LHC.BPM.1R5.B2_DOROS,-90.3343,-274.767,21.4108,36.0906,0.000214177,SEPARATION
4945,273588,74,40,1463589314,514,1,4,3,2,ACQUIRING,SEPARATION,24,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.222,-168.231,38.0345,68.0743,LHC.BPM.1R5.B1_DOROS,-143.074,95.4515,80.0771,23.8828,LHC.BPM.1L5.B2_DOROS,218.272,-182.968,5.03539,96.7754,LHC.BPM.1R5.B2_DOROS,-90.2361,-274.88,21.3538,35.9966,0.000356962,SEPARATION
4945,273588,74,44,1463589316,46,1,4,3,2,ACQUIRING,SEPARATION,23,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.087,-168.258,38.2193,68.0848,LHC.BPM.1R5.B1_DOROS,-143.01,95.7149,80.2903,23.6347,LHC.BPM.1L5.B2_DOROS,218.407,-182.924,4.92823,96.7146,LHC.BPM.1R5.B2_DOROS,-90.2362,-274.778,21.4297,36.1567,0.000142785,SEPARATION
4945,273588,74,48,1463589317,467,1,4,3,2,ACQUIRING,SEPARATION,21,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.312,-168.182,38.0285,68.0798,LHC.BPM.1R5.B1_DOROS,-143.28,95.4911,80.4342,23.6037,LHC.BPM.1L5.B2_DOROS,218.524,-183.079,5.06805,96.8673,LHC.BPM.1R5.B2_DOROS,-90.1786,-274.701,21.1851,36.169,0.000428355,SEPARATION
4945,273588,74,52,1463589318,895,1,4,3,2,ACQUIRING,SEPARATION,20,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.234,-168.045,38.2109,68.2682,LHC.BPM.1R5.B1_DOROS,-143.005,95.4352,80.6766,23.5928,LHC.BPM.1L5.B2_DOROS,218.689,-183.03,4.91889,96.8294,LHC.BPM.1R5.B2_DOROS,-90.0251,-274.753,21.3798,36.2793,0.000428355,SEPARATION
4945,273588,74,56,1463589320,413,1,4,3,2,ACQUIRING,SEPARATION,18,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.441,-168.136,37.9782,68.3542,LHC.BPM.1R5.B1_DOROS,-142.847,95.3891,80.7297,23.5385,LHC.BPM.1L5.B2_DOROS,218.521,-182.982,5.08711,96.7894,LHC.BPM.1R5.B2_DOROS,-89.8272,-274.654,21.2693,36.376,0.000142785,SEPARATION
4945,273588,74,60,1463589321,833,1,4,3,2,ACQUIRING,SEPARATION,17,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.383,-168.1,37.9821,68.3406,LHC.BPM.1R5.B1_DOROS,-142.905,95.5018,80.8355,23.6493,LHC.BPM.1L5.B2_DOROS,218.707,-183.076,4.94745,96.8337,LHC.BPM.1R5.B2_DOROS,-90.026,-274.732,21.2411,36.3066,0.000142785,SEPARATION
4945,273588,74,64,1463589323,262,1,4,3,2,ACQUIRING,SEPARATION,15,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.26,-168.207,38.0026,68.3283,LHC.BPM.1R5.B1_DOROS,-143.541,95.3075,80.8583,23.7421,LHC.BPM.1L5.B2_DOROS,218.264,-182.908,5.31689,96.6838,LHC.BPM.1R5.B2_DOROS,-90.3502,-275.034,21.2527,36.3259,0.000142785,SEPARATION
4945,273588,75,4,1463589324,786,1,4,3,2,ACQUIRING,SEPARATION,14,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.307,-168.264,38.1107,68.1513,LHC.BPM.1R5.B1_DOROS,-142.936,95.3878,80.8852,23.7136,LHC.BPM.1L5.B2_DOROS,219.056,-182.92,5.71617,96.6904,LHC.BPM.1R5.B2_DOROS,-90.2909,-274.754,21.3837,36.3207,7.13925e-05,SEPARATION
4945,273588,75,8,1463589326,209,1,4,3,2,ACQUIRING,SEPARATION,12,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.23,-168.207,38.0238,67.8906,LHC.BPM.1R5.B1_DOROS,-143.124,95.5962,80.5162,23.6888,LHC.BPM.1L5.B2_DOROS,218.77,-182.984,6.42301,96.697,LHC.BPM.1R5.B2_DOROS,-90.0719,-274.868,21.3573,36.1752,7.13925e-05,SEPARATION
4945,273588,75,12,1463589327,723,1,4,3,2,ACQUIRING,SEPARATION,11,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.239,-168.211,37.9263,67.9411,LHC.BPM.1R5.B1_DOROS,-142.775,95.7846,80.4424,23.5334,LHC.BPM.1L5.B2_DOROS,218.289,-182.902,6.50036,96.5394,LHC.BPM.1R5.B2_DOROS,-89.8622,-274.82,21.2481,36.1166,0.000142785,SEPARATION
4945,273588,75,16,1463589329,145,1,4,3,2,ACQUIRING,SEPARATION,10,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.2,-168.182,38.0003,67.6834,LHC.BPM.1R5.B1_DOROS,-142.781,95.8363,80.3844,23.5553,LHC.BPM.1L5.B2_DOROS,218.759,-183.052,6.31304,96.4736,LHC.BPM.1R5.B2_DOROS,-89.8177,-275.025,21.2489,36.0359,0.000214177,SEPARATION
4945,273588,75,20,1463589330,560,1,4,3,2,ACQUIRING,SEPARATION,8,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.479,-168.248,38.102,67.7792,LHC.BPM.1R5.B1_DOROS,-142.882,95.5865,80.0424,23.3535,LHC.BPM.1L5.B2_DOROS,218.551,-183.179,6.46257,96.4063,LHC.BPM.1R5.B2_DOROS,-90.0357,-274.991,21.1698,36.1587,0.000142785,SEPARATION
4945,273588,75,24,1463589332,85,1,4,3,2,ACQUIRING,SEPARATION,7,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.131,-168.391,38.1494,68.0541,LHC.BPM.1R5.B1_DOROS,-143.023,95.4628,80.3362,23.3534,LHC.BPM.1L5.B2_DOROS,218.771,-183.171,6.14377,96.545,LHC.BPM.1R5.B2_DOROS,-90.1319,-274.964,20.8952,36.2272,0.000142785,SEPARATION
4945,273588,75,28,1463589333,499,1,4,3,2,ACQUIRING,SEPARATION,5,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.122,-168.581,37.8581,68.1307,LHC.BPM.1R5.B1_DOROS,-142.58,95.7032,82.4091,23.8242,LHC.BPM.1L5.B2_DOROS,218.945,-183.111,6.07669,96.5503,LHC.BPM.1R5.B2_DOROS,-89.889,-274.915,21.1412,37.1129,0.000142785,SEPARATION
4945,273588,75,32,1463589334,917,1,4,3,2,ACQUIRING,SEPARATION,4,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.157,-168.303,38.0386,68.1198,LHC.BPM.1R5.B1_DOROS,-142.653,95.5257,80.2289,23.3008,LHC.BPM.1L5.B2_DOROS,218.437,-183.102,6.05648,96.423,LHC.BPM.1R5.B2_DOROS,-89.8683,-274.876,20.7293,36.1352,0.000356962,SEPARATION
4945,273588,75,36,1463589336,445,1,4,3,2,ACQUIRING,SEPARATION,2,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.185,-168.375,38.0814,68.0459,LHC.BPM.1R5.B1_DOROS,-143.331,95.1473,80.3176,23.2197,LHC.BPM.1L5.B2_DOROS,218.692,-182.966,6.09269,96.285,LHC.BPM.1R5.B2_DOROS,-89.8291,-275.124,20.9764,36.1519,0.000356962,SEPARATION
4945,273588,75,40,1463589337,863,1,4,3,2,ACQUIRING,SEPARATION,1,-0.589887,-0.513591,-0.179142,0.513591,0.179142,-0.294944,0,0.294944,0,LHC.BPM.1L5.B1_DOROS,555.3,-168.333,38.0866,68.0742,LHC.BPM.1R5.B1_DOROS,-143.17,95.2984,80.301,23.2571,LHC.BPM.1L5.B2_DOROS,218.311,-182.969,6.03744,96.2354,LHC.BPM.1R5.B2_DOROS,-89.8725,-275.151,21.0398,36.2133,0.000214177,SEPARATION
4945,273588,76,28,1463589356,842,1,6,3,2,ACQUIRING,SEPARATION,30,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.049,-167.896,37.977,68.4754,LHC.BPM.1R5.B1_DOROS,-142.434,95.3165,80.1357,23.4467,LHC.BPM.1L5.B2_DOROS,219.07,-183.105,6.67127,96.7513,LHC.BPM.1R5.B2_DOROS,-90.6995,-274.72,20.905,36.0248,0.00085671,SEPARATION
4945,273588,76,32,1463589358,262,1,6,3,2,ACQUIRING,SEPARATION,28,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.279,-167.483,38.2446,68.3691,LHC.BPM.1R5.B1_DOROS,-142.28,95.363,80.0989,23.4324,LHC.BPM.1L5.B2_DOROS,218.647,-182.342,6.82951,96.695,LHC.BPM.1R5.B2_DOROS,-90.872,-274.674,21.1877,36.0951,0.00085671,SEPARATION
4945,273588,76,36,1463589359,775,1,6,3,2,ACQUIRING,SEPARATION,27,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.068,-167.834,38.051,68.4294,LHC.BPM.1R5.B1_DOROS,-142.429,95.2709,80.2791,23.4181,LHC.BPM.1L5.B2_DOROS,218.861,-183.059,6.6076,96.8422,LHC.BPM.1R5.B2_DOROS,-90.8651,-274.902,21.0766,36.1337,0.00085671,SEPARATION
4945,273588,76,40,1463589361,192,1,6,3,2,ACQUIRING,SEPARATION,25,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,554.878,-167.857,38.064,68.4352,LHC.BPM.1R5.B1_DOROS,-142.473,95.3354,80.2528,23.3844,LHC.BPM.1L5.B2_DOROS,218.971,-182.914,6.33741,97.0493,LHC.BPM.1R5.B2_DOROS,-90.8101,-274.734,20.914,36.111,0.000785284,SEPARATION
4945,273588,76,44,1463589362,614,1,6,3,2,ACQUIRING,SEPARATION,24,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,554.914,-167.794,38.1943,68.5405,LHC.BPM.1R5.B1_DOROS,-142.383,95.2745,80.2074,23.443,LHC.BPM.1L5.B2_DOROS,219.032,-182.968,6.29024,96.984,LHC.BPM.1R5.B2_DOROS,-90.843,-274.793,21.1728,35.9882,0.000642532,SEPARATION
4945,273588,76,48,1463589364,129,1,6,3,2,ACQUIRING,SEPARATION,22,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.003,-167.659,37.8414,68.5806,LHC.BPM.1R5.B1_DOROS,-142.491,95.3563,80.1095,23.4609,LHC.BPM.1L5.B2_DOROS,218.748,-182.931,6.25376,96.5758,LHC.BPM.1R5.B2_DOROS,-90.7245,-274.866,20.7424,36.0699,0.000999494,SEPARATION
4945,273588,76,52,1463589365,543,1,6,3,2,ACQUIRING,SEPARATION,21,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,554.976,-167.967,38.0752,68.749,LHC.BPM.1R5.B1_DOROS,-142.199,95.1812,79.947,23.5071,LHC.BPM.1L5.B2_DOROS,219.411,-182.949,5.87272,96.4802,LHC.BPM.1R5.B2_DOROS,-90.8887,-274.787,20.9555,35.9779,0.000999494,SEPARATION
4945,273588,76,56,1463589367,57,1,6,3,2,ACQUIRING,SEPARATION,19,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.043,-167.846,38.1575,68.9311,LHC.BPM.1R5.B1_DOROS,-142.23,95.1244,79.9109,23.4927,LHC.BPM.1L5.B2_DOROS,218.976,-182.712,5.73497,96.5109,LHC.BPM.1R5.B2_DOROS,-90.6833,-274.938,21.0037,36.098,0.00085671,SEPARATION
4945,273588,76,60,1463589368,479,1,6,3,2,ACQUIRING,SEPARATION,18,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.005,-167.916,38.146,68.9611,LHC.BPM.1R5.B1_DOROS,-142.311,95.0775,79.7573,23.4926,LHC.BPM.1L5.B2_DOROS,218.972,-182.723,5.76593,96.6316,LHC.BPM.1R5.B2_DOROS,-90.6616,-274.883,20.9716,36.0925,0.000785317,SEPARATION
4945,273588,76,64,1463589369,903,1,6,3,2,ACQUIRING,SEPARATION,16,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.114,-167.741,37.8672,68.7532,LHC.BPM.1R5.B1_DOROS,-141.718,95.2107,81.7382,24.1369,LHC.BPM.1L5.B2_DOROS,218.912,-182.836,5.81761,96.6883,LHC.BPM.1R5.B2_DOROS,-90.4878,-274.743,21.3431,37.0316,0.000785317,SEPARATION
4945,273588,77,4,1463589371,426,1,6,3,2,ACQUIRING,SEPARATION,15,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,555.017,-167.884,37.8829,68.5787,LHC.BPM.1R5.B1_DOROS,-142.315,94.8771,80.1206,23.4616,LHC.BPM.1L5.B2_DOROS,218.822,-182.757,6.15503,96.4734,LHC.BPM.1R5.B2_DOROS,-90.7608,-274.766,20.8648,36.0869,0.000642532,SEPARATION
4945,273588,77,8,1463589372,853,1,6,3,2,ACQUIRING,SEPARATION,14,-0.54073,-0.489012,-0.179142,0.489012,0.179142,-0.270365,0,0.270365,0,LHC.BPM.1L5.B1_DOROS,554.753,-168.259,38.8703,70.3225,LHC.BPM.1R5.B1_DOROS,-142.143,94.8723,79.986,23.4894,LHC.BPM.1L5.B2_DOROS,219.153,-183.389,6.37694,98.8878,LHC.BPM.1R5.B2_DOROS,-90.8575,-274.711,21.0929,36.1622,0.00085671,SEPARATION
